,Channel1,Channel2,Channel3,Channel4
574,0,0.16,-0.16,-0.32
575,0.08,0.16,-0.08,-0.24
576,0,0.16,-0.16,-0.32
577,0.08,0.16,-0.08,-0.24
578,0,0.16,-0.16,-0.32
579,0.08,0.16,-0.08,-0.24
580,0,0.16,-0.16,-0.32
581,0.08,0.16,-0.08,-0.24
582,0,0.16,-0.16,-0.32
583,0.08,0.16,-0.08,-0.24
584,0,0.16,-0.16,-0.32
585,4.32,0.16,-0.08,-0.16
586,-1.52,0.16,-0.16,-0.4
587,0.08,0.16,-0.08,-0.24
588,0,0.16,-0.16,-0.32
589,0.08,0.16,-0.08,-0.24
590,0,0.16,-0.16,-0.32
591,0.08,0.16,-0.08,4
592,-0.08,0.16,-0.16,-1.84
593,0.08,0.16,-0.08,-0.24
594,0,0.16,-0.16,-0.4
595,0.08,0.16,-0.08,-0.24
596,0,0.16,-0.16,-0.32
597,0.08,0.16,-0.08,-0.24
598,0,0.16,-0.16,-0.32
599,0.08,0.16,-0.08,-0.24
600,0,0.16,-0.16,-0.32
601,0.08,0.16,-0.08,-0.24
602,0,0.16,-0.16,-0.32
603,4.32,0.16,-0.08,-0.16
604,-1.52,0.16,-0.16,-0.4
605,0.08,0.16,-0.08,-0.24
606,0,0.16,-0.16,-0.32
607,0.08,0.16,-0.08,-0.24
608,0,0.08,-0.16,-0.32
609,0.08,0.16,-0.08,-0.24
610,0,0.16,-0.16,-0.32
611,0.08,0.16,-0.08,4
612,-0.08,0.16,-0.16,-1.84
613,0.08,0.16,-0.08,-0.24
614,0,0.16,-0.16,-0.32
615,0.08,0.16,-0.08,-0.24
616,0,0.16,-0.16,-0.32
617,0.08,0.16,-0.08,-0.24
618,0,0.08,-0.16,-0.32
619,4.32,0.16,-0.08,-0.16
620,-1.52,0.16,-0.16,-0.4
621,0.08,0.16,-0.08,-0.24
622,0,0.08,-0.16,-0.32
623,0.08,0.16,-0.08,-0.24
624,0,0.16,-0.16,-0.32
625,0.08,0.16,-0.08,-0.24
626,0,0.16,-0.16,-0.32
627,0.08,0.16,-0.08,-0.24
628,0,0.08,-0.16,-0.32
629,0.08,0.16,-0.08,-0.24
630,0,0.16,-0.16,-0.32
631,0.08,0.16,-0.08,4
632,-0.08,0.16,-0.16,-1.84
633,0.08,0.16,-0.08,-0.24
634,0,0.16,-0.16,-0.32
635,4.24,0.16,-0.08,-0.24
636,0,0.16,-0.16,-0.32
637,4.32,0.16,-0.08,-0.16
638,-1.52,0.16,-0.16,-0.4
639,0.08,0.16,-0.08,-0.24
640,0,0.08,-0.16,-0.32
641,0.08,0.16,-0.08,-0.24
642,0,0.16,-0.16,-0.32
643,0.08,0.16,-0.08,-0.24
644,0,0.16,-0.16,-0.32
645,0.08,0.16,-0.08,-0.24
646,0,0.16,-0.16,-0.32
647,0.08,0.16,-0.08,-0.24
648,0,0.16,-0.16,-0.32
649,0.08,0.16,-0.08,-0.24
650,0,0.08,-0.16,-0.32
651,0.16,0.16,-0.08,4
652,-0.08,0.16,-0.16,-1.84
653,4.32,0.16,-0.08,-0.16
654,-1.52,0.16,-0.16,-0.4
655,0.08,0.16,-0.08,-0.24
656,0,0.08,-0.16,-0.32
657,0.08,0.16,-0.08,-0.24
658,0,0.08,-0.16,-0.32
659,0.08,0.16,-0.08,-0.24
660,0,0.16,-0.16,-0.32
661,0.08,0.16,-0.08,-0.24
662,0,0.16,-0.16,-0.32
663,0.08,0.16,-0.08,-0.24
664,0,0.16,-0.16,-0.32
665,0.08,0.16,-0.08,-0.24
